timestamp,u1_top_tray_temp,u2_top_temp,u3_reflux_flow,u4_feed_flow,u5_6th_tray_temp,u6_bottom_temp,u7_pressure,y_butane_content
2023-01-01 00:00:00,70.397,66.358,1.7576,3.5754,88.436,101.251,324.64,0.7455
2023-01-01 01:00:00,70.002,66.702,1.7808,3.3896,89.044,99.412,325.23,0.7415
2023-01-01 02:00:00,70.742,65.855,1.6725,3.4714,88.918,99.891,325.79,0.782
2023-01-01 03:00:00,71.554,65.721,1.8446,3.3981,89.887,99.738,328.31,0.7439
2023-01-01 04:00:00,70.26,65.45,1.9759,3.3104,91.268,100.957,324.39,0.7426
2023-01-01 05:00:00,70.37,65.691,1.7994,3.1251,89.283,102.777,324.45,0.7785
2023-01-01 06:00:00,71.931,68.39,2.0548,3.4215,91.406,101.36,329.97,0.6267
2023-01-01 07:00:00,71.39,67.252,2.0209,3.3057,89.613,100.892,326.02,0.6417
2023-01-01 08:00:00,70.509,65.488,1.9194,3.3037,89.702,99.579,324.33,0.7785
2023-01-01 09:00:00,71.425,65.559,1.998,3.3401,91.689,102.365,326.58,0.7674
2023-01-01 10:00:00,70.725,66.871,2.1896,3.6087,91.949,100.708,327.27,0.7573
2023-01-01 11:00:00,70.827,66.964,2.1191,3.6864,92.009,101.943,332.27,0.8051
2023-01-01 12:00:00,71.495,67.01,2.0607,3.4215,89.755,101.388,330.99,0.7279
2023-01-01 13:00:00,69.871,66.489,2.0481,3.3364,90.811,102.986,331.84,0.7813
2023-01-01 14:00:00,70.12,66.62,2.0896,3.2469,92.341,101.732,331.31,0.7216
2023-01-01 15:00:00,71.146,66.975,2.0386,3.4396,91.584,101.89,331.91,0.6947
2023-01-01 16:00:00,70.88,66.841,1.885,3.5917,90.45,102.618,328.1,0.6913
2023-01-01 17:00:00,72.033,65.26,2.3031,3.3417,92.218,104.737,329.59,0.7402
2023-01-01 18:00:00,71.144,66.683,2.1155,3.0788,91.0,103.154,327.88,0.7379
2023-01-01 19:00:00,70.827,66.276,2.1387,3.4368,93.823,101.876,330.09,0.7772
2023-01-01 20:00:00,73.213,67.019,2.0897,3.4662,93.6,101.978,332.59,0.6429
2023-01-01 21:00:00,71.941,69.009,2.0163,3.1485,92.606,101.265,331.47,0.6737
2023-01-01 22:00:00,72.253,67.196,2.0633,3.3503,93.469,100.676,334.65,0.6528
2023-01-01 23:00:00,71.134,66.736,1.912,3.373,92.062,101.147,328.76,0.8142
2023-01-02 00:00:00,71.91,67.615,2.2875,3.2993,92.842,100.806,333.1,0.6062
2023-01-02 01:00:00,72.503,67.319,1.9223,3.2019,93.623,102.596,328.95,0.726
2023-01-02 02:00:00,71.558,67.284,1.9266,3.4071,92.254,100.28,332.53,0.7129
2023-01-02 03:00:00,72.841,67.421,1.9681,3.2247,91.679,103.324,334.35,0.6721
2023-01-02 04:00:00,72.118,68.439,2.1216,3.0826,90.049,102.478,332.17,0.6509
2023-01-02 05:00:00,72.419,66.208,1.9735,3.0023,91.787,101.428,334.28,0.7265
2023-01-02 06:00:00,72.222,67.329,1.8264,3.3867,92.727,101.294,330.69,0.7029
2023-01-02 07:00:00,74.232,66.344,2.0522,3.2965,92.794,100.453,329.11,0.6809
2023-01-02 08:00:00,72.782,67.373,1.9757,3.22,92.232,101.405,334.84,0.6469
2023-01-02 09:00:00,71.985,66.33,1.9315,3.1435,90.994,102.336,337.97,0.7648
2023-01-02 10:00:00,73.525,66.668,1.9237,3.1198,89.318,99.869,331.27,0.5907
2023-01-02 11:00:00,71.921,66.737,2.0656,3.0412,90.84,98.643,336.97,0.7591
2023-01-02 12:00:00,73.092,67.608,2.0185,3.1056,90.934,101.398,334.16,0.6849
2023-01-02 13:00:00,71.38,67.546,1.7052,2.8903,90.8,100.745,330.84,0.7623
2023-01-02 14:00:00,71.904,66.006,1.9103,3.0439,91.691,98.701,331.47,0.8014
2023-01-02 15:00:00,73.139,66.89,1.7607,3.0828,93.052,99.032,334.45,0.6785
2023-01-02 16:00:00,73.582,66.325,1.7473,3.1815,90.854,98.691,333.5,0.7244
2023-01-02 17:00:00,73.135,65.909,1.504,3.0921,90.323,98.683,331.32,0.6612
2023-01-02 18:00:00,72.907,66.603,1.633,3.1813,90.112,99.016,330.45,0.7727
2023-01-02 19:00:00,72.757,66.502,1.5466,3.2373,90.363,98.897,332.64,0.6916
2023-01-02 20:00:00,71.809,68.377,1.69,3.1924,89.138,98.201,335.31,0.6176
2023-01-02 21:00:00,72.405,66.94,1.695,3.1125,89.998,97.86,334.86,0.6652
2023-01-02 22:00:00,72.598,65.628,1.3627,3.0487,90.174,98.344,333.67,0.7351
2023-01-02 23:00:00,73.793,66.151,1.5521,2.9214,89.717,98.652,335.46,0.6804
2023-01-03 00:00:00,73.2,67.213,1.6524,3.1205,89.793,97.812,337.58,0.7831
2023-01-03 01:00:00,71.487,67.909,1.5094,3.2266,89.567,99.517,335.98,0.6559
2023-01-03 02:00:00,73.126,65.284,1.591,3.0601,86.938,98.457,334.7,0.7149
2023-01-03 03:00:00,72.524,65.024,1.5453,3.2439,89.382,95.512,337.32,0.7475
2023-01-03 04:00:00,72.251,67.593,1.5387,2.8264,87.736,98.044,332.58,0.6722
2023-01-03 05:00:00,73.239,66.498,1.474,2.8674,87.06,97.932,334.39,0.764
2023-01-03 06:00:00,73.528,65.558,1.3783,3.1058,86.842,96.362,334.42,0.6463
2023-01-03 07:00:00,73.397,66.478,1.389,3.033,88.324,94.765,331.78,0.7426
2023-01-03 08:00:00,71.927,64.196,1.5755,3.1579,87.393,96.502,333.77,0.8514
2023-01-03 09:00:00,72.293,65.978,1.5122,2.9982,85.58,96.265,329.57,0.7456
2023-01-03 10:00:00,72.744,66.14,1.5042,2.8965,87.75,94.602,339.47,0.7978
2023-01-03 11:00:00,73.194,66.49,1.4857,2.9766,85.436,93.96,332.26,0.6637
2023-01-03 12:00:00,71.962,65.065,1.5097,2.8207,86.972,95.522,338.48,0.9084
2023-01-03 13:00:00,72.125,65.765,1.6589,2.8724,86.882,95.124,334.5,0.9029
2023-01-03 14:00:00,71.314,64.987,1.5367,3.1285,87.399,94.679,335.71,0.8684
2023-01-03 15:00:00,71.164,65.742,1.4538,3.1214,88.195,94.911,332.96,0.9686
2023-01-03 16:00:00,72.691,64.864,1.6815,3.0658,84.548,93.387,334.57,0.792
2023-01-03 17:00:00,73.042,65.132,1.6074,2.8221,85.811,94.061,335.54,0.8128
2023-01-03 18:00:00,71.813,64.648,1.6531,2.9928,85.391,95.13,335.42,0.9185
2023-01-03 19:00:00,72.584,65.727,1.834,2.8966,86.004,93.797,335.54,0.792
2023-01-03 20:00:00,71.979,65.797,1.6953,3.1932,85.603,91.899,332.52,0.7745
2023-01-03 21:00:00,71.08,64.958,1.7513,2.9911,84.824,93.284,332.07,0.814
2023-01-03 22:00:00,71.789,65.074,1.63,2.9406,84.581,92.339,329.1,0.9636
2023-01-03 23:00:00,72.632,63.958,1.7519,3.0847,83.699,93.916,334.21,0.8143
2023-01-04 00:00:00,71.273,64.688,1.861,3.0151,85.884,93.828,335.41,0.8996
2023-01-04 01:00:00,72.451,64.788,1.6706,3.2812,85.182,91.108,336.54,0.8098
2023-01-04 02:00:00,69.0,66.583,1.8722,3.0267,85.574,94.11,333.05,0.9963
2023-01-04 03:00:00,71.648,63.896,1.8877,2.9589,84.121,91.543,330.15,0.8909
2023-01-04 04:00:00,70.954,65.626,1.9067,2.8808,83.647,94.89,327.6,0.8421
2023-01-04 05:00:00,70.537,65.226,2.0305,3.1481,83.1,92.681,334.22,0.9443
